"","doc_id","word","freq"
"1","doc1","laboratory",1
"2","doc1","experiment",1
"3","doc1","role",1
"4","doc1","social",4
"5","doc1","preference",2
"6","doc1","simple",1
"7","doc1","shot",1
"8","doc1","dilemma",2
"9","doc1","game",3
"10","doc1","play",1
"11","doc1","human",2
"12","doc1","counterpart",2
"13","doc1","cooperation",3
"14","doc1","rate",1
"15","doc1","lower",1
"16","doc1","difference",1
"17","doc1","insignificant",2
"18","doc1","primary",1
"19","doc1","driver",2
"20","doc1","shoot",2
"21","doc1","psycinfo",1
"22","doc1","database",1
"23","doc1","record",1
"24","doc1","apa",1
"25","doc1","rights",1
"26","doc2","study",4
"27","doc2","sample",1
"28","doc2","multimethod",2
"29","doc2","approach",1
"30","doc2","prediction",1
"31","doc2","life",6
"32","doc2","history",6
"33","doc2","theory",2
"34","doc2","slow",1
"35","doc2","fast",1
"36","doc2","strategy",5
"37","doc2","promote",1
"38","doc2","investment",1
"39","doc2","cooperative",1
"40","doc2","relationship",1
"41","doc2","measure",1
"42","doc2","proxy",1
"43","doc2","mini",2
"44","doc2","scale",1
"45","doc2","cooperation",6
"46","doc2","economic",1
"47","doc2","game",1
"48","doc2","childhood",3
"49","doc2","environment",2
"50","doc2","harshness",2
"51","doc2","unpredictability",2
"52","doc2","resource",2
"53","doc2","scarcity",2
"54","doc2","validated",2
"55","doc2","method",1
"56","doc2","psychological",1
"57","doc2","mechanism",1
"58","doc2","relation",1
"59","doc2","temporal",1
"60","doc2","discounting",1
"61","doc2","concern",1
"62","doc2","reputation",1
"63","doc2","social",1
"64","doc2","orientation",1
"65","doc2","trust",1
"66","doc2","support",1
"67","doc2","hypothesis",1
"68","doc2","predict",1
"69","doc2","interact",1
"70","doc2","current",1
"71","doc2","initial",1
"72","doc2","finding",1
"73","doc2","individual",1
"74","doc2","variation",1
"75","doc2","unknown",1
"76","doc2","psycinfo",1
"77","doc2","database",1
"78","doc2","record",1
"79","doc2","apa",1
"80","doc2","rights",1
"81","doc3","paper",1
"82","doc3","effect",2
"83","doc3","video",6
"84","doc3","game",9
"85","doc3","content",2
"86","doc3","context",3
"87","doc3","experience",3
"88","doc3","cooperative",3
"89","doc3","behavior",6
"90","doc3","research",1
"91","doc3","study",5
"92","doc3","crosssectional",2
"93","doc3","correlation",2
"94","doc3","relationship",2
"95","doc3","team",3
"96","doc3","play",6
"97","doc3","frequency",2
"98","doc3","prosocial",4
"99","doc3","violent",2
"100","doc3","neutral",2
"101","doc3","single",2
"102","doc3","design",2
"103","doc3","dependent",1
"104","doc3","variable",1
"105","doc3","factor",1
"106","doc3","experiment",1
"107","doc3","gaming",1
"108","doc3","collaborative",3
"109","doc3","main",1
"110","doc3","finding",1
"111","doc3","positive",1
"112","doc3","exposure",1
"113","doc3","cooperation",2
"114","doc3","level",2
"115","doc3","psycinfo",1
"116","doc3","database",1
"117","doc3","record",1
"118","doc3","apa",1
"119","doc3","rights",1
"120","doc4","climate",2
"121","doc4","change",1
"122","doc4","sustained",2
"123","doc4","rise",2
"124","doc4","global",1
"125","doc4","temperature",6
"126","doc4","past",1
"127","doc4","decade",1
"128","doc4","frequency",1
"129","doc4","extreme",1
"130","doc4","weather",2
"131","doc4","event",1
"132","doc4","paper",1
"133","doc4","effect",1
"134","doc4","shocks",2
"135","doc4","utero",2
"136","doc4","life",2
"137","doc4","taste",4
"138","doc4","cooperation",4
"139","doc4","historical",1
"140","doc4","data",2
"141","doc4","child",2
"142","doc4","adult",1
"143","doc4","behavior",1
"144","doc4","public",3
"145","doc4","game",2
"146","doc4","ambient",4
"147","doc4","gestation",4
"148","doc4","individual",1
"149","doc4","contribution",1
"150","doc4","significant",1
"151","doc4","standard",1
"152","doc4","deviation",1
"153","doc4","decrease",1
"154","doc4","rate",1
"155","doc4","dichotomous",2
"156","doc4","adulthood",2
"157","doc4","psycinfo",1
"158","doc4","database",1
"159","doc4","record",1
"160","doc4","apa",1
"161","doc4","rights",1
"162","doc5","paper",1
"163","doc5","effect",4
"164","doc5","risk",3
"165","doc5","orientation",1
"166","doc5","game",12
"167","doc5","riskiness",8
"168","doc5","expectation",8
"169","doc5","cooperation",13
"170","doc5","shot",1
"171","doc5","prisoner",1
"172","doc5","dilemma",1
"173","doc5","participant",1
"174","doc5","pair",1
"175","doc5","half",2
"176","doc5","risky",8
"177","doc5","defection",2
"178","doc5","player",1
"179","doc5","decision",1
"180","doc5","goal",2
"181","doc5","hypothesis",2
"182","doc5","individual",2
"183","doc5","averse",1
"184","doc5","positive",1
"185","doc5","stronger",1
"186","doc5","result",1
"187","doc5","relation",1
"188","doc5","situation",1
"189","doc5","psycinfo",1
"190","doc5","database",1
"191","doc5","record",1
"192","doc5","apa",1
"193","doc5","rights",1
"194","doc6","resource",1
"195","doc6","successful",4
"196","doc6","level",5
"197","doc6","selection",4
"198","doc6","extreme",1
"199","doc6","form",1
"200","doc6","competition",2
"201","doc6","weaker",1
"202","doc6","extinct",4
"203","doc6","laboratory",1
"204","doc6","experiment",2
"205","doc6","impact",1
"206","doc6","human",1
"207","doc6","cooperation",2
"208","doc6","variation",1
"209","doc6","standard",1
"210","doc6","linear",1
"211","doc6","public",2
"212","doc6","game",2
"213","doc6","survival",1
"214","doc6","lowest",1
"215","doc6","earning",1
"216","doc6","sense",1
"217","doc6","additional",1
"218","doc6","control",1
"219","doc6","treatment",1
"220","doc6","comparison",2
"221","doc6","extinction",4
"222","doc6","individual",2
"223","doc6","groupswe",2
"224","doc6","produce",1
"225","doc6","contribution",2
"226","doc6","provision",1
"227","doc6","fail",1
"228","doc6","result",1
"229","doc6","stark",2
"230","doc6","evidence",1
"231","doc6","enhance",1
"232","doc6","psycinfo",1
"233","doc6","database",1
"234","doc6","record",1
"235","doc6","apa",1
"236","doc6","rights",1
"237","doc7","public",1
"238","doc7","game",1
"239","doc7","round",1
"240","doc7","access",1
"241","doc7","power",1
"242","doc7","awarded",2
"243","doc7","single",1
"244","doc7","player",2
"245","doc7","central",1
"246","doc7","contributor",4
"247","doc7","punisher",1
"248","doc7","institutionâ",2
"249","doc7","mechanism",2
"250","doc7","sanction",2
"251","doc7","othersâ",2
"252","doc7","effective",1
"253","doc7","raising",1
"254","doc7","cooperation",2
"255","doc7","welfare",1
"256","doc7","turnover",2
"257","doc7","top",2
"258","doc7","role",1
"259","doc7","willingness",1
"260","doc7","finding",1
"261","doc7","implication",1
"262","doc7","design",1
"263","doc7","foster",1
"264","doc7","social",1
"265","doc7","dilemma",1
"266","doc7","environment",1
"267","doc7","psycinfo",1
"268","doc7","database",1
"269","doc7","record",1
"270","doc7","apa",1
"271","doc7","rights",1
"272","doc8","research",1
"273","doc8","social",1
"274","doc8","dilemma",2
"275","doc8","delegation",2
"276","doc8","decision",2
"277","doc8","leader",8
"278","doc8","cooperation",2
"279","doc8","collective",1
"280","doc8","action",1
"281","doc8","paper",1
"282","doc8","voting",2
"283","doc8","scheme",2
"284","doc8","election",8
"285","doc8","difference",1
"286","doc8","emergence",1
"287","doc8","public",3
"288","doc8","game",1
"289","doc8","experiment",2
"290","doc8","actor",2
"291","doc8","elect",2
"292","doc8","behalf",2
"293","doc8","contribution",1
"294","doc8","leadership",3
"295","doc8","direct",4
"296","doc8","indirect",4
"297","doc8","system",1
"298","doc8","majority",1
"299","doc8","vote",1
"300","doc8","subgroup",2
"301","doc8","simulation",1
"302","doc8","model",1
"303","doc8","cooperative",1
"304","doc8","voter",2
"305","doc8","preference",4
"306","doc8","homogenous",1
"307","doc8","laboratory",1
"308","doc8","human",1
"309","doc8","subjects",1
"310","doc8","people",1
"311","doc8","stronger",1
"312","doc8","cooperator",1
"313","doc8","effect",1
"314","doc8","processing",1
"315","doc8","shaping",2
"316","doc8","psycinfo",1
"317","doc8","database",1
"318","doc8","record",1
"319","doc8","apa",1
"320","doc8","rights",1
"321","doc9","study",1
"322","doc9","influence",1
"323","doc9","level",1
"324","doc9","depression",6
"325","doc9","interpersonal",2
"326","doc9","strategic",1
"327","doc9","decision",2
"328","doc9","partner",11
"329","doc9","predetermined",1
"330","doc9","tendency",2
"331","doc9","separate",1
"332","doc9","iterate",2
"333","doc9","prisoner",1
"334","doc9","dilemma",1
"335","doc9","game",1
"336","doc9","ipdg",2
"337","doc9","participant",2
"338","doc9","cooperation",6
"339","doc9","lowest",1
"340","doc9","defecting",4
"341","doc9","severity",3
"342","doc9","related",1
"343","doc9","trial",1
"344","doc9","cooperate",2
"345","doc9","prosocial",1
"346","doc9","response",2
"347","doc9","unbiased",4
"348","doc9","volatile",6
"349","doc9","pattern",1
"350","doc9","reaction",1
"351","doc9","defection",1
"352","doc9","expectation",1
"353","doc9","task",1
"354","doc9","data",1
"355","doc9","positive",1
"356","doc9","interaction",1
"357","doc9","condition",2
"358","doc9","consistent",1
"359","doc9","feedback",1
"360","doc9","behavior",2
"361","doc9","dynamic",1
"362","doc9","context",1
"363","doc9","psycinfo",1
"364","doc9","database",1
"365","doc9","record",1
"366","doc9","apa",1
"367","doc9","rights",1
"368","doc10","sequential",1
"369","doc10","prisoner",1
"370","doc10","dilemma",1
"371","doc10","game",4
"372","doc10","psychophysiological",2
"373","doc10","measure",1
"374","doc10","cognitive",1
"375","doc10","underpinning",2
"376","doc10","reciprocal",1
"377","doc10","exchange",1
"378","doc10","participant",2
"379","doc10","round",4
"380","doc10","partner",6
"381","doc10","control",2
"382","doc10","condition",2
"383","doc10","interaction",1
"384","doc10","behavior",1
"385","doc10","consistent",2
"386","doc10","strategy",1
"387","doc10","feedback",5
"388","doc10","decision",1
"389","doc10","cooperation",2
"390","doc10","comparison",3
"391","doc10","function",1
"392","doc10","valence",1
"393","doc10","negativity",3
"394","doc10","sensitive",1
"395","doc10","violation",1
"396","doc10","evidence",1
"397","doc10","bia",1
"398","doc10","allocation",1
"399","doc10","attention",1
"400","doc10","person",2
"401","doc10","positive",1
"402","doc10","negative",1
"403","doc10","information",3
"404","doc10","process",1
"405","doc10","biase",1
"406","doc10","diagnosticity",2
"407","doc10","conclusion",1
"408","doc10","erp",2
"409","doc10","correlate",1
"410","doc10","memory",1
"411","doc10","retrieval",4
"412","doc10","successful",2
"413","doc10","reputation",1
"414","doc10","anterior",3
"415","doc10","positivity",4
"416","doc10","onset",2
"417","doc10","cooperator",1
"418","doc10","cheater",1
"419","doc10","result",1
"420","doc10","social",1
"421","doc10","motivational",1
"422","doc10","behavioral",1
"423","doc10","relevance",1
"424","doc10","processing",1
"425","doc10","psycinfo",1
"426","doc10","database",1
"427","doc10","record",1
"428","doc10","apa",1
"429","doc10","rights",1
"430","doc11","cooperative",3
"431","doc11","behavior",4
"432","doc11","individual",9
"433","doc11","characteristic",7
"434","doc11","altruism",6
"435","doc11","ability",7
"436","doc11","evidence",1
"437","doc11","precise",2
"438","doc11","impact",1
"439","doc11","subject",3
"440","doc11","study",2
"441","doc11","heterogeneous",1
"442","doc11","mix",1
"443","doc11","lower",1
"444","doc11","median",2
"445","doc11","score",1
"446","doc11","joint",2
"447","doc11","effect",3
"448","doc11","choice",1
"449","doc11","successful",1
"450","doc11","cooperation",6
"451","doc11","shot",4
"452","doc11","prisoner",1
"453","doc11","dilemma",1
"454","doc11","game",11
"455","doc11","random",2
"456","doc11","partner",2
"457","doc11","consecutive",2
"458","doc11","player",2
"459","doc11","belief",1
"460","doc11","incentive",1
"461","doc11","compatible",2
"462","doc11","method",1
"463","doc11","optimistic",1
"464","doc11","rate",1
"465","doc11","repetition",2
"466","doc11","contrary",1
"467","doc11","probability",1
"468","doc11","sign",2
"469","doc11","relationship",1
"470","doc11","sense",1
"471","doc11","linear",1
"472","doc11","experience",1
"473","doc11","setting",1
"474","doc11","affect",1
"475","doc11","single",1
"476","doc11","encounter",1
"477","doc11","interaction",1
"478","doc11","reach",2
"479","doc11","level",1
"480","doc11","psycinfo",1
"481","doc11","database",1
"482","doc11","record",1
"483","doc11","apa",1
"484","doc11","rights",1
"485","doc12","people",3
"486","doc12","interaction",1
"487","doc12","interdependent",1
"488","doc12","extent",2
"489","doc12","power",3
"490","doc12","resource",8
"491","doc12","form",1
"492","doc12","control",1
"493","doc12","outcome",2
"494","doc12","responsibility",5
"495","doc12","dependence",6
"496","doc12","regard",1
"497","doc12","individual",1
"498","doc12","prior",1
"499","doc12","research",1
"500","doc12","social",2
"501","doc12","dilemma",2
"502","doc12","cooperation",2
"503","doc12","study",3
"504","doc12","participant",5
"505","doc12","cooperative",2
"506","doc12","noncooperative",1
"507","doc12","option",1
"508","doc12","series",1
"509","doc12","prisoner",1
"510","doc12","game",4
"511","doc12","pdg",1
"512","doc12","amount",3
"513","doc12","fewer",1
"514","doc12","decision",1
"515","doc12","maker",1
"516","doc12","rate",1
"517","doc12","advantage",1
"518","doc12","equal",1
"519","doc12","disadvantage",1
"520","doc12","effect",2
"521","doc12","orientation",4
"522","doc12","svo",1
"523","doc12","strongest",1
"524","doc12","jous",2
"525","doc12","weaker",1
"526","doc12","gain",2
"527","doc12","nonsignificant",1
"528","doc12","relative",1
"529","doc12","psycinfo",1
"530","doc12","database",1
"531","doc12","record",1
"532","doc12","apa",1
"533","doc12","rights",1
"534","doc13","variability",1
"535","doc13","norm",4
"536","doc13","cooperation",4
"537","doc13","organization",1
"538","doc13","culture",1
"539","doc13","answer",1
"540","doc13","tendency",1
"541","doc13","individual",1
"542","doc13","successful",1
"543","doc13","behavior",1
"544","doc13","institutional",2
"545","doc13","structure",1
"546","doc13","behavioral",1
"547","doc13","atypical",2
"548","doc13","situation",2
"549","doc13","reach",2
"550","doc13","institution",1
"551","doc13","spillover",2
"552","doc13","subject",3
"553","doc13","environment",2
"554","doc13","prisoner",1
"555","doc13","dilemma",1
"556","doc13","intrinsic",1
"557","doc13","prosociality",2
"558","doc13","shot",2
"559","doc13","game",1
"560","doc13","prosocial",1
"561","doc13","selfishness",1
"562","doc13","effect",1
"563","doc13","heuristic",1
"564","doc13","intuitive",1
"565","doc13","process",1
"566","doc13","key",1
"567","doc13","role",1
"568","doc13","finding",1
"569","doc13","variation",1
"570","doc13","anonymous",1
"571","doc13","rule",1
"572","doc13","setting",1
"573","doc13","psycinfo",1
"574","doc13","database",1
"575","doc13","record",1
"576","doc13","apa",1
"577","doc13","rights",1
"578","doc14","evidence",1
"579","doc14","cooperation",8
"580","doc14","rate",4
"581","doc14","vary",2
"582","doc14","payoff",4
"583","doc14","parameter",1
"584","doc14","prisoner",1
"585","doc14","dilemma",1
"586","doc14","shot",1
